"Society","Latitude","Agriculture"
"Nomoians",6,"0"
"Nono",14,"5"
"Nootka",49,"1"
"Northern Pomo",39,"1"
"Northern Saulteaux",52,"1"
"Nsaw",6,"3"
"Nsungli",6,"3"
"Nuer",8,"3"
"Nunamiut",68,"1"
"Nunivak",60,"1"
"Nunuma",12,"5"
"Nupe",9,"3"
"Nuri",36,"6"
"Nyakyusa",-9,"5"
"Nyamwezi",-5,"3"
"Nyaneka",-15,"3"
"Nyanja",-16,"3"
"Nyankole",0,"3"
"Nyaro",11,"0"
"Nyasa",-13,"0"
"Nyima",12,"5"
"Nyoro",2,"5"
"Ob Ostyak",62,"1"
"Ojibwa",52,"1"
"Okinawans",26,"5"
"Omaha",41,"3"
"Ona",-54,"1"
"Ontong Java",-5,"4"
"Opata",30,"0"
"Oraon",23,"5"
"Oroch",51,"1"
"Orok",54,"1"
"Orokaiva",-9,"4"
"Osset",43,"5"
"Oto",40,"3"
"Otomi",20,"0"
"Otoro",12,"5"
"Ottawa",46,"3"
"Oyo Yoruba",8,"3"
"Paez",3,"5"
"Pahari",30,"5"
"Pahvant",39,"1"
"Paiwan",22,"3"
"Palauans",7,"4"
"Palaung",23,"3"
"Palikur",3,"3"
"Panamint",36,"1"
"Panare",6,"3"
"Panguitch",38,"1"
"Papago",31,"6"
"Paraujano",11,"1"
"Pare",-4,"5"
"Paressi",-15,"3"
"Pari",5,"0"
"Pathan",35,"6"
"Patwin",39,"1"
"Pawnee",42,"3"
"Pedi",-25,"3"
"Pekangekum",52,"1"
"Pende",-6,"3"
"Penobscot",45,"0"
"Pepel",12,"3"
"Piapoco",6,"3"
"Piaroa",5,"3"
"Picuris",36,"6"
"Piegan",49,"1"
"Pima",31,"6"
"Pimbwe",-7,"3"
"Piro",-12,"0"
"Plains Bira",1,"3"
"Plains Cree",45,"1"
"Plains Suk",1,"3"
"Plateau Tonga",-18,"3"
"Podokwo",11,"5"
"Pokomam",15,"0"
"Pokomo",-1,"6"
"Ponapeans",7,"4"
"Ponca",43,"3"
"Pondo",-31,"5"
"Popoi",2,"3"
"Popoluca",18,"3"
"Portuguese",42,"0"
"Potawatomi",44,"3"
"Poto",2,"3"
"Pukapukans",-11,"4"
"Puku",2,"3"
"Punjabi",32,"5"
"Purari",-7,"4"
"Purum",25,"3"
"Puyallup",47,"1"
"Puyuma",23,"6"
"Quahgai",30,"2"
"Quiche",15,"3"
"Quileute",48,"1"
"Quinault",47,"1"
"Rainy River",49,"1"
"Ramcocamecra",-7,"3"
"Rangi",-5,"3"
"Ranon",-16,"0"
"Raroians",-16,"4"
"Reddi",18,"3"
"Rega",-3,"3"
"Regeibat",22,"6"
"Rengama",26,"0"
"Rennell",-12,"4"
"Reshe",11,"5"
"Rhade",13,"3"
"Riffians",35,"5"
"Romanians",45,"0"
"Romans",42,"5"
"Rossel",-9,"4"
"Rotinese",-11,"0"
"Rotumans",-13,"4"
"Ruanda",-2,"5"
"Rucuyen",3,"0"
"Rumbi",0,"3"
"Rundi",-3,"5"
"Russians",53,"6"
"Rwala",33,"1"
"Saadi",30,"5"
"Safwa",-8,"3"
"Sagada",17,"6"
"Sahel",35,"5"
"Sakalava",-21,"3"
"Sakata",-3,"3"
"Salinan",36,"1"
"Samarokena",-3,"0"
"Samburu",1,"1"
"Samo",13,"5"
"Samoans",-14,"4"
"San Juan",36,"6"
"Sandawe",-5,"3"
"Sanema",4,"2"
"Sanga",2,"3"
"Sangu",-8,"6"
"Sanpoil",48,"1"
"Santa Ana",35,"6"
"Santa Clara",36,"0"
"Santa Cruz",-11,"4"
"Santal",24,"6"
"Santee",45,"2"
"Santo Domingo",36,"0"
"Sanusi",31,"5"
"Sapei",1,"3"
"Sapo",6,"3"
"Sara",9,"3"
"Saramacca",4,"3"
"Sarsi",54,"1"
"Satudene",65,"1"
"Sawakudokwa",41,"1"
"Sekani",56,"1"
"Selkup",59,"1"
"Selung",12,"1"
"Sema",26,"3"
"Semang",5,"1"
"Seminole",27,"0"
"Sena",-18,"3"
"Seniang",-17,"4"
"Senoi",4,"3"
"Senufo",10,"6"
"Serbs",44,"5"
"Serer",14,"3"
"Seri",29,"1"
"Serrano",34,"1"
"Shako",7,"5"
"Shambala",-5,"5"
"Shangama",6,"5"
"Shantung",37,"5"
"Shasta",41,"1"
"Shavante",-14,"3"
"Shawiya",36,"6"
"Shawnee",37,"3"
"Sherbro",7,"3"
"Sherente",-9,"3"
"Sherpa",28,"5"
"Shila",-10,"0"
"Shilluk",10,"3"
"Shiriana",4,"1"
"Shivwits",36,"6"
