"Name","glottocode","iso_code","latitude","longitude","ObjectVerbOrder"
"Bunuba","buna1275","bck",-17.75,125.75,"No dominant order"
"Bandi","band1352","bza",8.08333333333,-10.25,NA
"Baining","qaqe1238","byx",-4.58333333333,152,NA
"Bini","bini1246","bin",6.41666666667,5.83333333333,"VO"
"Bandjalang","band1339","bdy",-28.75,153,"OV"
"Bankon","bank1256","abb",4.41666666667,9.58333333333,"VO"
"Banggarla","bang1339","bjb",-32,137,NA
"Binumarien","binu1245","bjr",-6.28333333333,146.083333333,NA
"Banoni","bann1247","bcm",-6.41666666667,155.25,"VO"
"Barasano (Northern)","waim1255","bao",0.333333333333,-70.25,NA
"Beng","beng1286","nhb",7.83333333333,-4.25,NA
"Bilinara","ngar1235","nbj",-16,131.666666667,NA
"Bantik","bant1286","bnq",1.41666666667,124.75,NA
"Bularnu","bula1255",NA,-21,138,"OV"
"Baniwa","bani1255","bwi",2.66666666667,-66.8333333333,NA
"Boazi","kuni1265","kvg",-7,141.333333333,"OV"
"Bobangi","bang1354","bni",-1.33333333333,17.3333333333,"VO"
"Bodo","bodo1269","brx",26.8333333333,92,"OV"
"Boiken","boik1241","bzf",-3.5,143.5,NA
"Bori","damu1236","adi",28.3333333333,94.75,"OV"
"Boko","boko1266","bqc",10.5,3.5,"OV"
"Bolia","boli1255","bli",-1.25,18.3333333333,"VO"
"Bongu","bong1291","bpu",-5.5,145.916666667,"OV"
"Bokar","damu1236","adi",28.5,94.6666666667,"OV"
"Bora","bora1263","boa",-2.16666666667,-72.3333333333,NA
"Bosnian","bosn1245","bos",43,18,NA
"Berber (Wargla)","taga1278","oua",31.9166666667,5.33333333333,NA
"Bozo (Tigemaxo)","tiey1235","boz",15,-4,NA
"Bura-Pabir","bura1292","bwr",10.5,12.25,NA
"Bahnar (Plei Bong-Mang Yang)","bahn1262","bdq",13.8333333333,108.333333333,NA
"Basque (Bidasoa Valley)","basq1248","eus",43,-3.83333333333,NA
"Basque (Gernica)","basq1248","eus",43.3333333333,-3,NA
"Basque (Hondarribia)","basq1248","eus",42.5,-3,NA
"Basque (Basaburua and Imoz)","basq1248","eus",43,-1.66666666667,NA
"Basque (Lekeitio)","basq1248","eus",43,-2.5,NA
"Basque (Northern High Navarrese)","basq1248","eus",43.3333333333,-2.5,NA
"Basque (Oñati)","basq1248","eus",42.5,-3.5,NA
"Basque (Roncalese)","basq1248","eus",43,-2,NA
"Basque (Sakana)","basq1248","eus",42.5,-2,NA
"Basque (Zeberio)","basq1248","eus",42,-3,NA
"Brao","lave1249","brb",14.1666666667,107.5,"VO"
"Bariba","baat1238","bba",10,2.5,NA
"Boruca","boru1252","brn",8.83333333333,-83.25,NA
"Bardi","bard1255","bcj",-16.5833333333,122.916666667,NA
"Breton","bret1244","bre",48,-3,"VO"
"Berber (Rif)","tari1263","rif",34.5,-4,"VO"
"Brahui","brah1256","brh",28.5,67,NA
"Bribri","brib1243","bzd",9.41666666667,-83,"OV"
"Burji","burj1242","bji",5.5,37.8333333333,NA
"Berik","beri1254","bkl",-2.25,138.833333333,NA
"Baragaunle","lowa1242","loy",28.8333333333,83.8333333333,"OV"
"Burmese","nucl1310","mya",21,96,"OV"
"Burunge","buru1320","bds",-5.33333333333,36,"VO"
"Broken","torr1261","tcs",-10.1666666667,143,NA
"Barupu","wara1302","wra",-3.08333333333,142.083333333,"OV"
"Bororo","boro1282","bor",-16,-57,"VO"
"Barasano","bara1380","bsn",-0.166666666667,-70.6666666667,"OV"
"Bru (Eastern)","east2332","bru",17.3333333333,106,NA
"Bru (Western)","west2397","brv",16.75,104.75,NA
"Baruya","baru1267","byr",-6.91666666667,145.916666667,"OV"
"Birri","birr1240","bvq",5.5,25.1666666667,NA
"Berber (Ayt Seghrouchen Middle Atlas)","cent2194","tzm",33.3333333333,-4.66666666667,"VO"
"Bushoong","bush1247","buf",-4.5,21.5,"VO"
"Berber (Siwa)","siwi1239","siz",29.1666666667,25.5,NA
"Bashkir","bash1264","bak",53,58,"OV"
"British Sign Language","brit1235","bfi",52,-1,NA
