glottocode,name,macroarea,latitude,longitude,Language_family,precipitation,tones
ceba1235,"Cebaara Senoufo",Africa,9.50768,-6.15264,Atlantic-Congo,109.6723333,3
dagb1246,Dagbani,Africa,9.64745,-0.43227,Atlantic-Congo,96.44066667,2
digo1243,Digo,Africa,-4.62101,39.1752,Atlantic-Congo,84.90366667,2
dita1238,Ditammari,Africa,10.1614,1.18045,Atlantic-Congo,76.15566667,3
doya1240,Doyayo,Africa,8.68604,13.0768,Atlantic-Congo,82.69566667,4
dual1243,Duala,Africa,4.10208,9.61877,Atlantic-Congo,203.5083333,5
duru1249,Duruma,Africa,-4.09629,39.322,Atlantic-Congo,84.90366667,2
ebir1243,Ebira,Africa,8.15516,7.06183,Atlantic-Congo,107.0431667,3
ejag1239,Ejagham,Africa,5.54442,8.90959,Atlantic-Congo,180.6758333,4
eloy1241,Eloyi,Africa,8.24696,7.97061,Atlantic-Congo,112.0075,3
fang1246,"Fang (Equatorial Guinea)",Africa,1.72397,11.6145,Atlantic-Congo,150.85,0
fefe1239,"Fe'fe'",Africa,5.18158,10.1442,Atlantic-Congo,186.3731667,5
fipa1238,Fipa,Africa,-7.88963,31.3442,Atlantic-Congo,77.35933333,1
fonn1241,Fon,Africa,7.15484,1.66495,Atlantic-Congo,86.84766667,4
gaaa1244,Ga,Africa,5.65488,-0.18598,Atlantic-Congo,86.0695,3
gand1255,Ganda,Africa,0.66884,32.1515,Atlantic-Congo,102.6498333,4
gbar1246,Gbari,Africa,8.46411,7.10757,Atlantic-Congo,83.16516667,0
giry1241,Giryama,Africa,-3.30638,39.6648,Atlantic-Congo,72.096,2
gour1243,"Gourmanchéma",Africa,11.6711,1.28489,Atlantic-Congo,63.02033333,3
haya1250,Haya,Africa,-1.70878,31.4846,Atlantic-Congo,103.7213333,0
here1253,Herero,Africa,-21.0231,20.5655,Atlantic-Congo,28.47883333,2
ibib1240,Ibibio,Africa,5.15279,7.86688,Atlantic-Congo,224.8988333,2
idom1241,Idoma,Africa,7.19139,7.71261,Atlantic-Congo,136.4635,5
ifee1241,"Ifè",Africa,7.63568,1.58494,Atlantic-Congo,125.5521667,3
jola1263,Jola-Fonyi,Africa,12.7575,-15.7355,Atlantic-Congo,120.6261667,0
kabi1261,"Kabiyé",Africa,8.96816,0.495023,Atlantic-Congo,93.211,2
kagu1239,Kagulu,Africa,-6.38204,37.0534,Atlantic-Congo,73.72616667,0
kamb1297,"Kamba (Kenya)",Africa,-1.60827,37.9532,Atlantic-Congo,43.76483333,4
kase1253,Kasem,Africa,11.0824,-1.39076,Atlantic-Congo,74.71816667,4
kele1255,"Kele (Democratic Republic of Congo)",Africa,0.36906,24.3098,Atlantic-Congo,141.7275,2
keny1279,Kenyang,Africa,5.58288,9.55918,Atlantic-Congo,191.9998333,0
kiku1240,Kikuyu,Africa,-0.29005,36.719,Atlantic-Congo,57.67833333,0
kiny1244,Kinyarwanda,Africa,-1.56771,29.6441,Atlantic-Congo,75.04966667,0
komc1235,"Kom (Cameroon)",Africa,6.2596,10.3348,Atlantic-Congo,179.131,7
komo1260,"Komo (Democratic Republic of Congo)",Africa,-0.76333,26.7144,Atlantic-Congo,112.7138333,4
konk1269,Konkomba,Africa,9.82224,0.2783,Atlantic-Congo,87.21333333,8
kusa1250,Kusaal,Africa,10.9703,-0.38756,Atlantic-Congo,74.633,0
kwas1243,Kwasio,Africa,2.39354,10.0812,Atlantic-Congo,150.8381667,0
lamn1239,"Lamnso'",Africa,6.39743,11.0684,Atlantic-Congo,153.6045,7
lang1320,Langi,Africa,-4.71413,35.9517,Atlantic-Congo,47.57733333,0
lega1249,Lega-Shabunda,Africa,-3.83196,27.1424,Atlantic-Congo,109.375,6
limb1268,Limbum,Africa,6.58608,10.9802,Atlantic-Congo,153.6045,6
ling1263,Lingala,Africa,1.40324,19.7829,Atlantic-Congo,142.7335,0
luch1239,Luchazi,Africa,-14.0648,22.2437,Atlantic-Congo,89.193,0
lund1266,Lunda,Africa,-11.1793,23.8662,Atlantic-Congo,97.289,0
luva1239,Luvale,Africa,-13.5382,22.2924,Atlantic-Congo,94.18633333,4
mako1251,Makonde,Africa,-10.9906,39.5133,Atlantic-Congo,91.801,5
mama1271,"Mamara Senoufo",Africa,12.4871,-5.28245,Atlantic-Congo,81.72466667,2
mamb1296,Mambwe-Lungu,Africa,-8.86817,31.2269,Atlantic-Congo,72.09833333,7
mamp1244,Mampruli,Africa,10.3884,-0.74675,Atlantic-Congo,83.31366667,2
masa1299,Masaaba,Africa,1.05906,34.2829,Atlantic-Congo,99.35733333,0
meru1245,Meru,Africa,0.26484,37.7396,Atlantic-Congo,134.8895,0
meta1238,"Meta'",Africa,5.88942,9.87416,Atlantic-Congo,179.131,5
mmen1238,Mmen,Africa,6.43213,10.2541,Atlantic-Congo,142.2301667,5
moch1256,Mochi,Africa,-3.33743,37.3357,Atlantic-Congo,130.834,0
mokp1239,Mokpwe,Africa,4.24178,9.23887,Atlantic-Congo,238.9943333,2
moss1236,Mossi,Africa,10.4524,-1.17278,Atlantic-Congo,62.73625,2
mund1325,Mundang,Africa,9.83195,14.4751,Atlantic-Congo,66.63483333,3
mung1266,Mungaka,Africa,5.89752,10.0294,Atlantic-Congo,179.131,3
myen1241,Myene,Africa,-1.48741,9.50247,Atlantic-Congo,154.4365,0
ndon1254,Ndonga,Africa,-17.6417,19.1631,Atlantic-Congo,50.25933333,2
njye1238,Njyem,Africa,2.30483,14.1175,Atlantic-Congo,131.1123333,2
nort2795,"North Ndebele",Africa,-20.2513,27.4096,Atlantic-Congo,47.14333333,2
nort2765,"Northern Kissi",Africa,8.7283,-10.4063,Atlantic-Congo,183.7143333,0
nort2774,"Northern Ngbandi",Africa,3.56357,21.8525,Atlantic-Congo,139.5,0
