"Name","glottocode","iso_code","latitude","longitude","BasicWordOrder","AdpositionOrder"
"Hupa","hupa1239","hup",41.0833333333,-123.666666667,"No dominant order","Postpositions"
"Huave (San Mateo del Mar)","sanm1287","huv",16.2166666667,-95,"SVO","Prepositions"
"Haya","haya1250","hay",-2,31.5,"SVO","Prepositions"
"Hunzib","hunz1247","huz",42.1666666667,46.25,"SOV","Postpositions"
"Iaai","iaai1238","iai",-20.4166666667,166.583333333,"SVO","Prepositions"
"Iban","iban1264","iba",2,112,"SVO","Prepositions"
"Icelandic","icel1247","isl",65,-17,"SVO","Prepositions"
"Iduna","idun1242","viv",-9.33333333333,150.25,"SOV","Postpositions"
"Ifumu","teke1274","ifm",-3.66666666667,15.3333333333,"SVO","Prepositions"
"Igbo","nucl1417","ibo",6,7.33333333333,"SVO","Prepositions"
"Ingessana","gaam1241","tbi",11.5,34,"SVO","Prepositions"
"Ik","ikkk1242","ikx",3.75,34.1666666667,"VSO","Prepositions"
"Ika","arhu1242","arh",10.6666666667,-73.75,"SOV","Postpositions"
"Ila","ilaa1246","ilb",-15.5833333333,26.5,"SVO","Prepositions"
"Ilocano","ilok1237","ilo",16,121,"VSO","Prepositions"
"Inanwatan","suab1238","szp",-2.08333333333,132.083333333,"No dominant order","Postpositions"
"Indonesian","indo1316","ind",0,106,"SVO","Prepositions"
"Innamincka","yand1253","ynd",-27.75,140.75,"SOV","Postpositions"
"Iquito","iqui1243","iqu",-3.25,-74,"SVO","Postpositions"
"Irish","iris1253","gle",53,-8,"VSO","Prepositions"
"Iraqw","iraq1241","irk",-4,35.5,"SOV","Prepositions"
"Irarutu","irar1238","irh",-3,133.5,"SVO","Prepositions"
"I'saka","kris1246","ksi",-2.83333333333,141.283333333,"SOV","No dominant order"
"Italian","ital1282","ita",43,12,"SVO","Prepositions"
"Itelmen","itel1242","itl",57,157.5,"SOV","No adpositions"
"Iwaidja","iwai1244","ibd",-11.5,132.666666667,"SVO","No dominant order"
"Ixil","ixil1250","ixl",15.5,-91,"VSO","Prepositions"
"Izi","izie1238","izi",6.33333333333,8,"SVO","Prepositions"
"Jabêm","yabe1254","jae",-6.58333333333,147.783333333,"SVO","No dominant order"
"Jakaltek","popt1235","jai",15.6666666667,-91.6666666667,"VSO","Prepositions"
"Jarawa (in Nigeria)","jara1263","jar",9.5,10.5,"SVO","Prepositions"
"Jabutí","djeo1235","jbt",-12.25,-62.25,"SOV","Postpositions"
"Jino","jino1236","jiu",22,101,"SOV","Postpositions"
"Jur Mödö","jurm1239","bex",6,30,"SVO","Prepositions"
"Jamsay","jams1239","djm",14.4166666667,-2.5,"SOV","Postpositions"
"Jingpho","kach1280","kac",25.4166666667,97,"SOV","Postpositions"
"Japanese","nucl1643","jpn",37,140,"SOV","Postpositions"
"Ju|'hoan","juho1239","ktz",-19,21,"SVO","Postpositions"
"Jukun","juku1254","jbu",6.91666666667,10.4166666667,"SVO","Prepositions"
"Javaé","kara1500","kpj",-10,-50.3333333333,"SOV","Postpositions"
"Karó (Arára)","karo1305","arr",-10.3333333333,-62,"SOV","Postpositions"
"Kabardian","kaba1278","kbd",43.5,43.5,"SOV","Postpositions"
"Kachari","kach1279","xac",26.5,91,"SOV","Postpositions"
"Kana","khan1278","ogo",4.75,7.41666666667,"SVO","Prepositions"
"Kara (in Central African Republic)","kara1482","kah",10,23,"SVO","Prepositions"
"Kashmiri","kash1277","kas",34,76,"SVO","Postpositions"
"Kaulong","kaul1240","pss",-6.16666666667,149.666666667,"SVO","Prepositions"
"Kayardild","kaya1319","gyd",-17.05,139.5,"No dominant order","No adpositions"
"Kabyle","kaby1243","kab",36.5,5,"VSO","Prepositions"
"Karen (Bwe)","bwek1238","bwe",19.5,97,"SVO","Prepositions"
"Kabiyé","kabi1261","kbp",9.66666666667,1.16666666667,"SVO","Prepositions"
"Koyra Chiini","koyr1240","khq",17,-3,"SVO","Postpositions"
"Kadiwéu","kadi1248","kbc",-20,-57,"SVO","No adpositions"
"Kadazan","coas1294","kzj",5.91666666667,117.166666667,"VSO","Prepositions"
"Kele","kele1258","sbc",-2.08333333333,147.083333333,"SVO","Prepositions"
"Kemant","qima1242","ahg",12.6666666667,37.4166666667,"SOV","Postpositions"
"Kenga","keng1240","kyq",12,18,"SVO","No dominant order"
"Kera","kera1255","ker",9.83333333333,15.0833333333,"SVO","Prepositions"
"Ket","kett1243","ket",64,87,"SOV","Postpositions"
"Kewa","kewa1250","kjs",-6.5,143.833333333,"SOV","Postpositions"
"Koromfe","koro1298","kfz",14.25,-0.916666666667,"SVO","No dominant order"
"Kinga","nucl1379","zga",-9,34,"SVO","Prepositions"
